index,Estimated,Ground Truth
0,240.66292539547996,1
1,240.585840864561,1
2,240.46608617973578,1
3,240.38011704817438,1
4,240.27613846070844,1
5,240.16474449254582,1
6,240.06985844014562,1
7,239.97871826595104,1
8,239.8869531097909,1
9,239.77906345879083,1
10,239.67243966585363,1
11,239.5965658500421,1
12,239.50521691806878,1
13,239.38459791105979,1
14,239.29626025219676,1
15,239.19531269184685,1
16,239.09926481788523,1
17,238.97825490245438,1
18,238.87951069990808,1
19,238.78005986298248,1
20,238.69278644971405,1
21,238.59724848074453,1
22,238.49588812925413,1
23,238.39867740668635,1
24,238.28224687232023,1
25,238.18412509523802,1
26,238.10002275030365,1
27,237.98790739485764,1
28,237.91292808339014,1
29,237.80175399848727,1
30,237.7035095332436,1
